domain,year,section,award,status,team,team_slug,verified_on
story,2025,undergrad,best-wiki,winner,EPFL,epfl,2026-09-08
story,2025,undergrad,best-wiki,winner,MSP-Maastricht,msp-maastricht,2026-09-08
story,2025,undergrad,best-wiki,nominee,Barcelona-UB,barcelona-ub,2026-09-08
story,2025,undergrad,best-wiki,nominee,McGill,mcgill,2026-09-08
story,2025,undergrad,best-wiki,nominee,Patras-Med,patras-med,2026-09-08
story,2025,undergrad,best-wiki,nominee,PekingHSC,pekinghsc,2026-09-08
story,2025,undergrad,best-wiki,nominee,Rochester,rochester,2026-09-08
story,2025,undergrad,best-wiki,nominee,SUSTech-BIO,sustech-bio,2026-09-08
story,2025,undergrad,best-wiki,nominee,TU-Eindhoven,tu-eindhoven,2026-09-08
story,2025,undergrad,best-wiki,nominee,UOttawa,uottawa,2026-09-08
story,2025,undergrad,best-wiki,nominee,XJTLU-Science-China,xjtlu-science-china,2026-09-08
story,2025,overgrad,best-wiki,winner,Munich,munich,2026-09-08
story,2025,overgrad,best-wiki,nominee,Aachen,aachen,2026-09-08
story,2025,overgrad,best-wiki,nominee,AshesiGhana,ashesighana,2026-09-08
story,2025,overgrad,best-wiki,nominee,Brno-Czech-Republic,brno-czech-republic,2026-09-08
story,2025,overgrad,best-wiki,nominee,DTU-Denmark,dtu-denmark,2026-09-08
story,2025,overgrad,best-wiki,nominee,Freiburg,freiburg,2026-09-08
story,2025,overgrad,best-wiki,nominee,Heidelberg,heidelberg,2026-09-08
story,2025,overgrad,best-wiki,nominee,Marburg,marburg,2026-09-08
story,2025,overgrad,best-wiki,nominee,TAU-Israel,tau-israel,2026-09-08
story,2025,overgrad,best-wiki,nominee,UiOslo-Norway,uioslo-norway,2026-09-08
story,2025,overgrad,best-wiki,nominee,UNILausanne,unilausanne,2026-09-08
story,2025,overgrad,best-wiki,nominee,WageningenUR,wageningenur,2026-09-08
story,2025,high-school,best-wiki,winner,GreatBay-SCIE,greatbay-scie,2026-09-08
story,2025,high-school,best-wiki,nominee,BNDS-China,bnds-china,2026-09-08
story,2025,high-school,best-wiki,nominee,GCGS,gcgs,2026-09-08
story,2025,high-school,best-wiki,nominee,GEMS-Taiwan,gems-taiwan,2026-09-08
story,2025,high-school,best-wiki,nominee,Lambert-GA,lambert-ga,2026-09-08
story,2025,high-school,best-wiki,nominee,MPA-USA,mpa-usa,2026-09-08
story,2025,high-school,best-wiki,nominee,PCA-Korea,pca-korea,2026-09-08
story,2025,high-school,best-wiki,nominee,SubCat-Greatbay,subcat-greatbay,2026-09-08
story,2025,high-school,best-wiki,nominee,Taipei-KCISLK-V3,taipei-kcislk-v3,2026-09-08
story,2025,high-school,best-wiki,nominee,Uprize-I,uprize-i,2026-09-08
story,2024,undergrad,best-wiki,winner,Heidelberg,heidelberg,2026-09-08
story,2024,undergrad,best-wiki,winner,JU-Krakow,ju-krakow,2026-09-08
story,2023,undergrad,best-wiki,winner,ShanghaiTech-China,shanghaitech-china,2026-09-08
story,2023,undergrad,best-wiki,winner,ZJU-China,zju-china,2026-09-08
story,2022,undergrad,best-wiki,winner,INSA-Lyon1,insa-lyon1,2026-09-08
story,2022,undergrad,best-wiki,winner,Patras-Medicine,patras-medicine,2026-09-08
story,2021,undergrad,best-wiki,winner,NEFU-China,NEFU_China,2026-09-08
story,2021,undergrad,best-wiki,winner,NUS-Singapore,NUS_Singapore,2026-09-08
story,2021,undergrad,best-wiki,nominee,Gifu,Gifu,2026-09-08
story,2021,undergrad,best-wiki,nominee,IISER-Tirupati-India,IISER-Tirupati_India,2026-09-08
story,2021,undergrad,best-wiki,nominee,KCL-UK,KCL_UK,2026-09-08
story,2021,undergrad,best-wiki,nominee,NU-Kazakhstan,NU_Kazakhstan,2026-09-08
story,2021,undergrad,best-wiki,nominee,ShanghaiTech-China,ShanghaiTech_China,2026-09-08
story,2021,undergrad,best-wiki,nominee,Toulouse-INSA-UPS,Toulouse_INSA-UPS,2026-09-08
story,2021,undergrad,best-wiki,nominee,UPenn,UPenn,2026-09-08
story,2021,undergrad,best-wiki,nominee,ZJU-China,ZJU-China,2026-09-08
story,2021,overgrad,best-wiki,winner,EPFL,EPFL,2026-09-08
story,2021,overgrad,best-wiki,winner,TU-Darmstadt,TU_Darmstadt,2026-09-08
story,2021,overgrad,best-wiki,nominee,Aachen,Aachen,2026-09-08
story,2021,overgrad,best-wiki,nominee,BOKU-Vienna,BOKU-Vienna,2026-09-08
story,2021,overgrad,best-wiki,nominee,Evry-Paris-Saclay,Evry_Paris-Saclay,2026-09-08
story,2021,overgrad,best-wiki,nominee,Groningen,Groningen,2026-09-08
story,2021,overgrad,best-wiki,nominee,Marburg,Marburg,2026-09-08
story,2021,overgrad,best-wiki,nominee,Paris-Bettencourt,Paris_Bettencourt,2026-09-08
story,2021,overgrad,best-wiki,nominee,SDU-Denmark,SDU-Denmark,2026-09-08
story,2021,overgrad,best-wiki,nominee,UZurich,UZurich,2026-09-08
story,2021,high-school,best-wiki,winner,LINKS-China,LINKS_China,2026-09-08
story,2021,high-school,best-wiki,winner,TAS-Taipei,TAS_Taipei,2026-09-08
story,2021,high-school,best-wiki,nominee,BJEA-China,BJEA_China,2026-09-08
story,2021,high-school,best-wiki,nominee,CCA-San-Diego,CCA_San_Diego,2026-09-08
story,2021,high-school,best-wiki,nominee,GreatBay-SZ,GreatBay_SZ,2026-09-08
story,2021,high-school,best-wiki,nominee,HK-SSC,HK_SSC,2026-09-08
story,2021,high-school,best-wiki,nominee,iBowu-China,iBowu-China,2026-09-08
story,2021,high-school,best-wiki,nominee,Lethbridge-HS,Lethbridge_HS,2026-09-08
story,2021,high-school,best-wiki,nominee,NDNF-China,NDNF_China,2026-09-08
story,2021,high-school,best-wiki,nominee,SZ-SHD,SZ_SHD,2026-09-08
wetlab,2025,undergrad,best-measurement,winner,EPFL,epfl,2026-09-08
wetlab,2025,undergrad,best-measurement,nominee,BUCT-China,buct-china,2026-09-08
wetlab,2025,undergrad,best-measurement,nominee,McMaster-Canada,mcmaster-canada,2026-09-08
wetlab,2025,undergrad,best-measurement,nominee,NU-Kazakhstan,nu-kazakhstan,2026-09-08
wetlab,2025,undergrad,best-measurement,nominee,ShanghaiTech-China,shanghaitech-china,2026-09-08
wetlab,2025,overgrad,best-measurement,winner,Aalto-Helsinki,aalto-helsinki,2026-09-08
wetlab,2025,overgrad,best-measurement,nominee,AshesiGhana,ashesighana,2026-09-08
wetlab,2025,overgrad,best-measurement,nominee,BohemiaBio,bohemiabio,2026-09-08
wetlab,2025,overgrad,best-measurement,nominee,Groningen,groningen,2026-09-08
wetlab,2025,overgrad,best-measurement,nominee,Stuttgart,stuttgart,2026-09-08
wetlab,2025,high-school,best-measurement,winner,BNDS-China,bnds-china,2026-09-08
wetlab,2025,high-school,best-measurement,nominee,GEMS-Taiwan,gems-taiwan,2026-09-08
wetlab,2025,high-school,best-measurement,nominee,Hangzhou-PET,hangzhou-pet,2026-09-08
wetlab,2025,high-school,best-measurement,nominee,PCA-Korea,pca-korea,2026-09-08
wetlab,2025,high-school,best-measurement,nominee,Uprize-I,uprize-i,2026-09-08
wetlab,2021,undergrad,best-measurement,winner,Vilnius-Lithuania,Vilnius-Lithuania,2026-09-08
wetlab,2021,undergrad,best-measurement,nominee,CCU-Taiwan,CCU_Taiwan,2026-09-08
wetlab,2021,undergrad,best-measurement,nominee,Fudan,Fudan,2026-09-08
wetlab,2021,undergrad,best-measurement,nominee,WHU-China,WHU-China,2026-09-08
wetlab,2021,undergrad,best-measurement,nominee,ZJU-China,ZJU-China,2026-09-08
wetlab,2021,overgrad,best-measurement,winner,Marburg,Marburg,2026-09-08
wetlab,2021,overgrad,best-measurement,nominee,HZAU-China,HZAU-China,2026-09-08
wetlab,2021,overgrad,best-measurement,nominee,Tianjin,Tianjin,2026-09-08
wetlab,2021,overgrad,best-measurement,nominee,UNILausanne,UNILausanne,2026-09-08
wetlab,2021,high-school,best-measurement,winner,Mingdao,Mingdao,2026-09-08
wetlab,2021,high-school,best-measurement,nominee,Lambert-GA,Lambert_GA,2026-09-08
wetlab,2021,high-school,best-measurement,nominee,LINKS-China,LINKS_China,2026-09-08
model,2025,undergrad,best-model,winner,Peking,peking,2026-09-08
model,2025,undergrad,best-model,nominee,IZJU-China,izju-china,2026-09-08
model,2025,undergrad,best-model,nominee,NJU-China,nju-china,2026-09-08
model,2025,undergrad,best-model,nominee,PekingHSC,pekinghsc,2026-09-08
model,2025,undergrad,best-model,nominee,SUSTech-BIO,sustech-bio,2026-09-08
model,2025,overgrad,best-model,winner,Heidelberg,heidelberg,2026-09-08
model,2025,overgrad,best-model,nominee,DTU-Denmark,dtu-denmark,2026-09-08
model,2025,overgrad,best-model,nominee,HPI-Potsdam,hpi-potsdam,2026-09-08
model,2025,overgrad,best-model,nominee,Munich,munich,2026-09-08
model,2025,overgrad,best-model,nominee,TAU-Israel,tau-israel,2026-09-08
model,2025,overgrad,best-model,nominee,Toronto,toronto,2026-09-08
model,2025,high-school,best-model,winner,GreatBay-SCIE,greatbay-scie,2026-09-08
model,2025,high-school,best-model,nominee,AIS-China,ais-china,2026-09-08
model,2025,high-school,best-model,nominee,GEMS-Taiwan,gems-taiwan,2026-09-08
model,2025,high-school,best-model,nominee,HK-Joint-School,hk-joint-school,2026-09-08
model,2025,high-school,best-model,nominee,Lambert-GA,lambert-ga,2026-09-08
model,2024,undergrad,best-model,winner,Heidelberg,heidelberg,2026-09-08
model,2023,undergrad,best-model,winner,ZJU-China,zju-china,2026-09-08
model,2022,undergrad,best-model,winner,TU-Eindhoven,tu-eindhoven,2026-09-08
model,2021,undergrad,best-model,winner,Ecuador,Ecuador,2026-09-08
model,2021,undergrad,best-model,nominee,FCB-UANL,FCB-UANL,2026-09-08
model,2021,undergrad,best-model,nominee,NUS-Singapore,NUS_Singapore,2026-09-08
model,2021,undergrad,best-model,nominee,ShanghaiTech-China,ShanghaiTech_China,2026-09-08
model,2021,undergrad,best-model,nominee,Toulouse-INSA-UPS,Toulouse_INSA-UPS,2026-09-08
model,2021,undergrad,best-model,nominee,Vilnius-Lithuania,Vilnius-Lithuania,2026-09-08
model,2021,undergrad,best-model,nominee,Warwick,Warwick,2026-09-08
model,2021,undergrad,best-model,nominee,XMU-China,XMU-China,2026-09-08
model,2021,overgrad,best-model,winner,HZAU-China,HZAU-China,2026-09-08
model,2021,overgrad,best-model,nominee,Aachen,Aachen,2026-09-08
model,2021,overgrad,best-model,nominee,BOKU-Vienna,BOKU-Vienna,2026-09-08
model,2021,overgrad,best-model,nominee,DTU-Denmark,DTU-Denmark,2026-09-08
model,2021,overgrad,best-model,nominee,Groningen,Groningen,2026-09-08
model,2021,overgrad,best-model,nominee,Humboldt-Berlin,Humboldt_Berlin,2026-09-08
model,2021,overgrad,best-model,nominee,TU-Eindhoven,TU-Eindhoven,2026-09-08
model,2021,overgrad,best-model,nominee,Uppsala,Uppsala,2026-09-08
model,2021,high-school,best-model,winner,TAS-Taipei,TAS_Taipei,2026-09-08
model,2021,high-school,best-model,nominee,Lambert-GA,Lambert_GA,2026-09-08
model,2021,high-school,best-model,nominee,LINKS-China,LINKS_China,2026-09-08
model,2021,high-school,best-model,nominee,Mingdao,Mingdao,2026-09-08
model,2021,high-school,best-model,nominee,SHSBNU-China,SHSBNU_China,2026-09-08
model,2021,high-school,best-model,nominee,SMS-Shenzhen,SMS_Shenzhen,2026-09-08
hp,2025,undergrad,best-integrated-human-practices,winner,NYU-Abu-Dhabi,nyu-abu-dhabi,2026-09-08
hp,2025,undergrad,best-integrated-human-practices,nominee,CJUH-JLU-China,cjuh-jlu-china,2026-09-08
hp,2025,undergrad,best-integrated-human-practices,nominee,JLU-NBBMS,jlu-nbbms,2026-09-08
hp,2025,undergrad,best-integrated-human-practices,nominee,Peking,peking,2026-09-08
hp,2025,undergrad,best-integrated-human-practices,nominee,Thessaloniki,thessaloniki,2026-09-08
hp,2025,undergrad,best-integrated-human-practices,nominee,TU-Eindhoven,tu-eindhoven,2026-09-08
hp,2025,overgrad,best-integrated-human-practices,winner,WageningenUR,wageningenur,2026-09-08
hp,2025,overgrad,best-integrated-human-practices,nominee,Aachen,aachen,2026-09-08
hp,2025,overgrad,best-integrated-human-practices,nominee,Marburg,marburg,2026-09-08
hp,2025,overgrad,best-integrated-human-practices,nominee,Munich,munich,2026-09-08
hp,2025,overgrad,best-integrated-human-practices,nominee,UNICAMP-Brazil,unicamp-brazil,2026-09-08
hp,2025,overgrad,best-integrated-human-practices,nominee,UniMuenster,unimuenster,2026-09-08
hp,2025,high-school,best-integrated-human-practices,winner,GreatBay-SCIE,greatbay-scie,2026-09-08
hp,2025,high-school,best-integrated-human-practices,nominee,HG-Tokyo,hg-tokyo,2026-09-08
hp,2025,high-school,best-integrated-human-practices,nominee,PCA-Korea,pca-korea,2026-09-08
hp,2025,high-school,best-integrated-human-practices,nominee,Uprize-I,uprize-i,2026-09-08
hp,2025,high-school,best-integrated-human-practices,nominee,WLSA-ShanghaiAcademy,wlsa-shanghaiacademy,2026-09-08
hp,2025,undergrad,best-education,winner,Queens-Canada,queens-canada,2026-09-08
hp,2025,undergrad,best-education,nominee,BNU-China,bnu-china,2026-09-08
hp,2025,undergrad,best-education,nominee,BUCT,buct,2026-09-08
hp,2025,undergrad,best-education,nominee,JLU-CP,jlu-cp,2026-09-08
hp,2025,undergrad,best-education,nominee,NUDT-CHINA,nudt-china,2026-09-08
hp,2025,overgrad,best-education,winner,Heidelberg,heidelberg,2026-09-08
hp,2025,overgrad,best-education,nominee,AshesiGhana,ashesighana,2026-09-08
hp,2025,overgrad,best-education,nominee,Leiden,leiden,2026-09-08
hp,2025,overgrad,best-education,nominee,UNILausanne,unilausanne,2026-09-08
hp,2025,overgrad,best-education,nominee,UniMuenster,unimuenster,2026-09-08
hp,2025,high-school,best-education,winner,GreatBay-SCIE,greatbay-scie,2026-09-08
hp,2025,high-school,best-education,nominee,GEMS-Taiwan,gems-taiwan,2026-09-08
hp,2025,high-school,best-education,nominee,Lambert-GA,lambert-ga,2026-09-08
hp,2025,high-school,best-education,nominee,SHSID,shsid,2026-09-08
hp,2025,high-school,best-education,nominee,Thailand-RIS,thailand-ris,2026-09-08
hp,2025,undergrad,best-sustainable-development-impact,winner,EPFL,epfl,2026-09-08
hp,2025,undergrad,best-sustainable-development-impact,nominee,AFCM-Egypt,afcm-egypt,2026-09-08
hp,2025,undergrad,best-sustainable-development-impact,nominee,IISc-Bengaluru,iisc-bengaluru,2026-09-08
hp,2025,undergrad,best-sustainable-development-impact,nominee,Patras-Med,patras-med,2026-09-08
hp,2025,undergrad,best-sustainable-development-impact,nominee,Tsinghua,tsinghua,2026-09-08
hp,2025,overgrad,best-sustainable-development-impact,winner,Aalto-Helsinki,aalto-helsinki,2026-09-08
hp,2025,overgrad,best-sustainable-development-impact,nominee,Lund,lund,2026-09-08
hp,2025,high-school,best-sustainable-development-impact,winner,AIS-China,ais-china,2026-09-08
hp,2025,high-school,best-sustainable-development-impact,nominee,Boston-BOSLab,boston-boslab,2026-09-08
hp,2025,high-school,best-sustainable-development-impact,nominee,Hongwen-School,hongwen-school,2026-09-08
hp,2025,high-school,best-sustainable-development-impact,nominee,Shanghai-SDG,shanghai-sdg,2026-09-08
hp,2025,high-school,best-sustainable-development-impact,nominee,Thailand-RIS,thailand-ris,2026-09-08
hp,2025,undergrad,best-inclusivity,winner,SUSTech-BIO,sustech-bio,2026-09-08
hp,2025,overgrad,best-inclusivity,winner,USP-Brazil,usp-brazil,2026-09-08
hp,2025,high-school,best-inclusivity,winner,DBHS-CA,dbhs-ca,2026-09-08
hp,2021,undergrad,best-integrated-human-practices,winner,Bolivia,Bolivia,2026-09-08
hp,2021,undergrad,best-integrated-human-practices,nominee,Ecuador,Ecuador,2026-09-08
hp,2021,undergrad,best-integrated-human-practices,nominee,FCB-UANL,FCB-UANL,2026-09-08
hp,2021,undergrad,best-integrated-human-practices,nominee,IISER-Tirupati-India,IISER-Tirupati_India,2026-09-08
hp,2021,undergrad,best-integrated-human-practices,nominee,KCL-UK,KCL_UK,2026-09-08
hp,2021,undergrad,best-integrated-human-practices,nominee,NUS-Singapore,NUS_Singapore,2026-09-08
hp,2021,undergrad,best-integrated-human-practices,nominee,ShanghaiTech-China,ShanghaiTech_China,2026-09-08
hp,2021,overgrad,best-integrated-human-practices,winner,Marburg,Marburg,2026-09-08
hp,2021,overgrad,best-integrated-human-practices,nominee,Aachen,Aachen,2026-09-08
hp,2021,overgrad,best-integrated-human-practices,nominee,Paris-Bettencourt,Paris_Bettencourt,2026-09-08
hp,2021,overgrad,best-integrated-human-practices,nominee,TUDelft,TUDelft,2026-09-08
hp,2021,overgrad,best-integrated-human-practices,nominee,TU-Eindhoven,TU-Eindhoven,2026-09-08
hp,2021,overgrad,best-integrated-human-practices,nominee,UNILA-LatAm,UNILA_LatAm,2026-09-08
hp,2021,overgrad,best-integrated-human-practices,nominee,UParis-BME,UParis_BME,2026-09-08
hp,2021,overgrad,best-integrated-human-practices,nominee,USP-Brazil,USP-Brazil,2026-09-08
hp,2021,overgrad,best-integrated-human-practices,nominee,UZurich,UZurich,2026-09-08
hp,2021,high-school,best-integrated-human-practices,winner,Lambert-GA,Lambert_GA,2026-09-08
hp,2021,high-school,best-integrated-human-practices,nominee,CCA-San-Diego,CCA_San_Diego,2026-09-08
hp,2021,high-school,best-integrated-human-practices,nominee,iBowu-China,iBowu-China,2026-09-08
hp,2021,high-school,best-integrated-human-practices,nominee,LINKS-China,LINKS_China,2026-09-08
hp,2021,high-school,best-integrated-human-practices,nominee,NDNF-China,NDNF_China,2026-09-08
